Date,PortfolioValue,Return,Cost,Weights
2020-05-19,119126.0931680451,-0.003165857240610398,169.24379890471283,"{'AAPL': 0.829088221612803, 'AMZN': 0.17091177838719696, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-20,121359.3231448464,0.01970280692083214,111.68787155313582,"{'AAPL': 0.3603081727465004, 'AMZN': 0.6396918272534996, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-21,119593.8789025908,-0.01432452392674302,27.422528803899137,"{'AAPL': 0.4732888984677927, 'AMZN': 0.5267111015322073, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-22,120237.07418605602,0.00643836676002385,125.982847386586,"{'AAPL': 1.0, 'AMZN': 0.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-26,119422.64190951076,-0.006773553681828637,0.0,"{'AAPL': 1.0, 'AMZN': 0.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-27,119942.94003229075,0.004356779539128164,0.0,"{'AAPL': 1.0, 'AMZN': 0.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-28,119995.77409911081,0.0004404933446340298,0.0,"{'AAPL': 1.0, 'AMZN': 0.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-05-29,119878.8487743139,-0.0009744120213794893,0.0,"{'AAPL': 1.0, 'AMZN': 0.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-06-01,121196.98390942128,0.011209910994763607,25.41123215666254,"{'AAPL': 0.8940128620833597, 'AMZN': 0.0, 'GOOG': 0.10598713791664027, 'MSFT': 0.0, 'SPY': 0.0}"
2020-06-02,121732.23150129139,0.00462929972641013,25.69064289737733,"{'AAPL': 1.0, 'AMZN': 0.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
2020-06-03,122402.38681122495,0.00550515916506833,0.0,"{'AAPL': 1.0, 'AMZN': 0.0, 'GOOG': 0.0, 'MSFT': 0.0, 'SPY': 0.0}"
